Created,Point,Possession,Player,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2017-04-08 14:53,3,2,#19 Ben Wang,0.161074,0.346535
2017-04-08 15:23,11,1,#27 Daniel Zhang,0.88255,0.504951
